BOROUGH,BUILDING_CLASS_CATEGORY,BUILDING_CLASS_AT_PRESENT,TOTAL_UNITS,LAND_SQUARE_FEET,GROSS_SQUARE_FEET,YEAR_BUILT,TAX_CLASS_AT_TIME_OF_SALE,SALE_PRICE,PRICE_B
2,02 TWO FAMILY DWELLINGS                    ,B1,2,1748,2365,1950,1,1,0.0
2,02 TWO FAMILY DWELLINGS                    ,B2,2,2709,2400,1899,1,585000,1.0
2,02 TWO FAMILY DWELLINGS                    ,B2,2,2709,2400,1899,1,260000,0.0
2,02 TWO FAMILY DWELLINGS                    ,B9,2,2850,2110,1950,1,588000,1.0
2,02 TWO FAMILY DWELLINGS                    ,B9,2,1710,1912,1950,1,0,0.0
2,02 TWO FAMILY DWELLINGS                    ,B2,2,2375,1640,1925,1,0,0.0
2,02 TWO FAMILY DWELLINGS                    ,B1,2,932,2031,2007,1,470000,0.0
2,02 TWO FAMILY DWELLINGS                    ,B1,2,2390,3419,1999,1,0,0.0
2,02 TWO FAMILY DWELLINGS                    ,B3,2,2288,1320,1930,1,0,0.0
2,02 TWO FAMILY DWELLINGS                    ,B1,2,1710,1912,1955,1,0,0.0
2,02 TWO FAMILY DWELLINGS                    ,B9,2,4200,3300,1970,1,0,0.0
2,02 TWO FAMILY DWELLINGS                    ,B9,2,4200,3300,1970,1,645000,1.0
2,02 TWO FAMILY DWELLINGS                    ,B1,2,2850,3300,1910,1,613600,1.0
2,02 TWO FAMILY DWELLINGS                    ,B1,2,2500,2187,1955,1,372000,0.0
2,02 TWO FAMILY DWELLINGS                    ,B1,2,2500,3080,1930,1,200,0.0
2,02 TWO FAMILY DWELLINGS                    ,B1,2,2900,3550,1935,1,0,0.0
2,02 TWO FAMILY DWELLINGS                    ,B1,2,2000,2499,1950,1,635000,1.0
2,02 TWO FAMILY DWELLINGS                    ,B1,2,2000,2499,1950,1,344760,0.0
2,02 TWO FAMILY DWELLINGS                    ,B1,2,2658,1976,1930,1,535000,1.0
2,02 TWO FAMILY DWELLINGS                    ,B9,2,2056,2195,1930,1,215000,0.0
2,02 TWO FAMILY DWELLINGS                    ,B1,2,5000,1631,1956,1,630000,1.0
2,02 TWO FAMILY DWELLINGS                    ,B1,2,2500,2160,1920,1,384000,0.0
2,02 TWO FAMILY DWELLINGS                    ,B1,2,2500,2160,1920,1,431379,0.0
2,02 TWO FAMILY DWELLINGS                    ,B9,2,2642,1722,1950,1,529000,1.0
2,02 TWO FAMILY DWELLINGS                    ,B9,2,2642,1722,1950,1,276000,0.0
2,02 TWO FAMILY DWELLINGS                    ,B3,2,2000,2385,1950,1,285000,0.0
2,02 TWO FAMILY DWELLINGS                    ,B1,2,2300,1762,1930,1,620000,1.0
2,02 TWO FAMILY DWELLINGS                    ,B1,2,2300,2156,1930,1,625000,1.0
2,02 TWO FAMILY DWELLINGS                    ,B1,2,2335,1824,1940,1,0,0.0
2,02 TWO FAMILY DWELLINGS                    ,B1,2,2352,1824,1940,1,0,0.0
2,02 TWO FAMILY DWELLINGS                    ,B1,2,2200,1475,1955,1,0,0.0
2,02 TWO FAMILY DWELLINGS                    ,B1,2,2650,1475,1955,1,0,0.0
2,02 TWO FAMILY DWELLINGS                    ,B3,2,1800,1260,1950,1,523000,1.0
2,02 TWO FAMILY DWELLINGS                    ,B3,2,4250,3073,1930,1,545700,1.0
2,02 TWO FAMILY DWELLINGS                    ,B2,2,4750,2880,1970,1,680000,1.0
2,02 TWO FAMILY DWELLINGS                    ,B2,2,4750,2880,1970,1,300000,0.0
2,02 TWO FAMILY DWELLINGS                    ,B1,2,1880,2080,1970,1,10000,0.0
2,02 TWO FAMILY DWELLINGS                    ,B1,2,2183,3073,2000,1,10,0.0
2,02 TWO FAMILY DWELLINGS                    ,B1,2,1920,2585,1970,1,515000,1.0
2,02 TWO FAMILY DWELLINGS                    ,B1,2,4231,2752,1970,1,0,0.0
2,02 TWO FAMILY DWELLINGS                    ,B1,2,2500,2280,1955,1,490000,1.0
